Country,University Name,University Score,Diversity Score
Spain,University of Valladolid,47.794,42.954
UK,Middlesex University,47.633,77.547
Spain,University of Seville,47.323,52.870
Switzerland,University of Lucerne,47.016,57.315
Greece,Aristotle University of Thessaloniki,46.826,47.109
Spain,University of Vigo,46.516,93.803
Italy,University of Salerno,46.251,37.329
France,IMT MINES ALES,46.157,53.540
UK,University of Westminster,45.671,76.125
Ireland,Maynooth University,45.527,65.874
UK,Coventry University,45.407,56.424
UK,University of Central Lancashire,45.224,65.089
UK,University of Huddersfield,44.862,64.150
UK,Manchester Metropolitan University,44.758,70.279
UK,University of Hertfordshire,44.377,73.386
Italy,University of Bari,43.791,38.780
UK,University of Greenwich,43.563,69.926
UK,Glasgow Caledonian University,43.087,62.509
Slovenia,University of Maribor,42.942,43.016
Italy,University of Tuscia,42.435,38.582
UK,University of the West of England,41.281,62.919
France,Universite de Paris-Nord - Paris 13,40.806,58.807
Greece,University of Patras,40.790,32.681
UK,Sheffield Hallam University,40.338,59.180
UK,De Montfort University,39.024,67.159
UK,London Metropolitan University,37.671,68.129
Spain,IQS Universitat Ramon Llull,37.657,50.063
UK,Leeds Beckett University,35.397,50.209
Hungary,University of Sopron,35.336,41.589
Germany,Kuehne Logistics University,35.320,30.209
Ireland,Dublin Institute of Technology,35.176,79.973
Italy,D`Annunzio University,34.912,91.382
Greece,Athens University of Economics and Business,34.513,45.660
Germany,Tübingen University,34.201,51.025
Switzerland,Swiss Montreux Business School,33.036,40.173
Greece,Democritus University of Thrace,30.216,24.443
Spain,Rey Juan Carlos University,29.599,38.018
Spain,ESIC Business and Marketing School,28.776,50.064
France,Eurecom (Grande Ecole),26.176,29.623
